publicHoliday,weeks,days,hours,hourPerDay,A,B,C,D,E,F,G
0,1,6,133,13,1,1,1,1,1,1,1
0,1,6,134,14,1,1,1,1,1,1,1
0,1,6,135,15,1,1,1,1,1,1,1
0,1,6,136,16,1,1,1,1,1,1,1
0,1,6,137,17,1,1,1,1,1,1,1
0,1,6,138,18,1,1,1,1,1,1,1
0,1,6,139,19,1,1,1,1,1,1,1
0,1,6,140,20,1,1,1,1,1,1,1
0,1,6,141,21,1,1,1,1,1,1,1
0,1,6,142,22,1,1,1,1,1,1,1
0,1,6,143,23,1,1,1,1,1,1,1
0,1,6,144,24,1,1,1,1,1,1,1
0,1,7,145,1,1,1,1,1,1,1,1
0,1,7,146,2,1,1,1,1,1,1,1
0,1,7,147,3,1,1,1,1,1,1,1
0,1,7,148,4,1,1,1,1,1,1,1
0,1,7,149,5,1,1,1,1,1,1,1
0,1,7,150,6,1,1,1,1,1,1,1
0,1,7,151,7,1,1,1,1,1,1,1
0,1,7,152,8,1,1,1,1,1,1,1
0,1,7,153,9,1,1,1,1,1,1,1
0,1,7,154,10,1,1,1,1,1,1,1
0,1,7,155,11,1,1,1,1,1,1,1
0,1,7,156,12,1,1,1,1,1,1,1
0,1,7,157,13,1,1,1,1,1,1,1
0,1,7,158,14,1,1,1,1,1,1,1
0,1,7,159,15,1,1,1,1,1,1,1
0,1,7,160,16,1,1,1,1,1,1,1
0,1,7,161,17,1,1,1,1,1,1,1
0,1,7,162,18,1,1,1,1,1,1,1
0,1,7,163,19,1,1,1,1,1,1,1
0,1,7,164,20,1,1,1,1,1,1,1
0,1,7,165,21,1,1,1,1,1,1,1
0,1,7,166,22,1,1,1,1,1,1,1
0,1,7,167,23,1,1,1,1,1,1,1
0,1,7,168,24,1,1,1,1,1,1,1
